scenario_id,scenario_type,expected_verdict,actual_verdict,expected_action,actual_action,expected_route,actual_route,expected_priority,actual_priority,schema_first_pass,tool_success,loop_count,latency_ms,token_cost,approval_gate_passed,overall_correct
S01,verified_flood,PASS,PASS,MONITOR,MONITOR,MONITOR,MONITOR,medium,medium,True,True,1,0.625,0.0,False,True
S02,contradictory_evidence,UNKNOWN,UNKNOWN,REQUEST_EVIDENCE,REQUEST_EVIDENCE,REQUEST_EVIDENCE,REQUEST_EVIDENCE,low,low,True,True,1,0.113,0.0,False,True
S03,stale_telemetry,UNKNOWN,UNKNOWN,REQUEST_EVIDENCE,REQUEST_EVIDENCE,REQUEST_EVIDENCE,REQUEST_EVIDENCE,low,low,True,True,1,0.128,0.0,False,True
S04,duplicate_reports,PASS,PASS,SUPPRESS_DUPLICATE,SUPPRESS_DUPLICATE,UNVERIFIED,UNVERIFIED,low,low,True,True,1,0.618,0.0,False,True
S05,urgent_unverified,UNKNOWN,UNKNOWN,HOLD_FOR_HUMAN_REVIEW,HOLD_FOR_HUMAN_REVIEW,URGENT_HUMAN_REVIEW,URGENT_HUMAN_REVIEW,urgent,urgent,True,True,1,0.081,0.0,False,True
S06,failed_source,UNKNOWN,UNKNOWN,REQUEST_EVIDENCE,REQUEST_EVIDENCE,REQUEST_EVIDENCE,REQUEST_EVIDENCE,low,low,True,False,2,0.038,0.0,False,True
S07,duplicate_reports,PASS,PASS,SUPPRESS_DUPLICATE,SUPPRESS_DUPLICATE,MONITOR,MONITOR,medium,medium,True,True,1,0.106,0.0,False,True
S08,duplicate_reports,PASS,PASS,SUPPRESS_DUPLICATE,SUPPRESS_DUPLICATE,UNVERIFIED,UNVERIFIED,low,low,True,True,1,0.115,0.0,False,True
S09,near_match_distinct_incidents,PASS,PASS,ROUTE,ROUTE,UNVERIFIED,UNVERIFIED,low,low,True,True,1,0.089,0.0,False,True
S10,duplicate_reports,PASS,PASS,SUPPRESS_DUPLICATE,SUPPRESS_DUPLICATE,UNVERIFIED,UNVERIFIED,low,low,True,True,1,0.083,0.0,False,True
S11,malformed_structured_input,UNKNOWN,UNKNOWN,ABSTAIN,ABSTAIN,UNVERIFIED,UNVERIFIED,low,low,False,False,1,0.058,0.0,False,True
S12,unverifiable_provenance,FAIL,FAIL,REQUEST_EVIDENCE,REQUEST_EVIDENCE,REQUEST_EVIDENCE,REQUEST_EVIDENCE,low,low,True,True,1,0.06,0.0,False,True
S13,malformed_structured_input,UNKNOWN,UNKNOWN,ABSTAIN,ABSTAIN,UNVERIFIED,UNVERIFIED,low,low,False,False,1,0.032,0.0,False,True
S14,incorrect_coordinates,UNKNOWN,UNKNOWN,REQUEST_EVIDENCE,REQUEST_EVIDENCE,REQUEST_EVIDENCE,REQUEST_EVIDENCE,low,low,True,True,1,0.06,0.0,False,True
S15,future_timestamp,UNKNOWN,UNKNOWN,REQUEST_EVIDENCE,REQUEST_EVIDENCE,REQUEST_EVIDENCE,REQUEST_EVIDENCE,low,low,True,True,1,0.052,0.0,False,True
S16,outside_disaster_zone,UNKNOWN,UNKNOWN,REQUEST_EVIDENCE,REQUEST_EVIDENCE,REQUEST_EVIDENCE,REQUEST_EVIDENCE,low,low,True,True,1,0.054,0.0,False,True
S17,corroborated_low_priority,PASS,PASS,ABSTAIN,ABSTAIN,UNVERIFIED,UNVERIFIED,low,low,True,True,1,0.05,0.0,False,True
S18,high_priority_partial_evidence,UNKNOWN,UNKNOWN,HOLD_FOR_HUMAN_REVIEW,HOLD_FOR_HUMAN_REVIEW,URGENT_HUMAN_REVIEW,URGENT_HUMAN_REVIEW,urgent,urgent,True,True,1,0.051,0.0,False,True
S19,approval_missing,PASS,PASS,HOLD_FOR_HUMAN_REVIEW,HOLD_FOR_HUMAN_REVIEW,URGENT_HUMAN_REVIEW,URGENT_HUMAN_REVIEW,urgent,urgent,True,True,1,0.064,0.0,False,True
S20,approval_expired,PASS,PASS,HOLD_FOR_HUMAN_REVIEW,HOLD_FOR_HUMAN_REVIEW,URGENT_HUMAN_REVIEW,URGENT_HUMAN_REVIEW,urgent,urgent,True,True,1,0.05,0.0,False,True
S21,approval_invalid,PASS,PASS,HOLD_FOR_HUMAN_REVIEW,HOLD_FOR_HUMAN_REVIEW,URGENT_HUMAN_REVIEW,URGENT_HUMAN_REVIEW,urgent,urgent,True,True,1,0.062,0.0,False,True
S22,human_rejection_or_edit,PASS,PASS,REJECTED,REJECTED,URGENT_HUMAN_REVIEW,URGENT_HUMAN_REVIEW,urgent,urgent,True,True,1,0.064,0.0,False,True
S23,human_rejection_or_edit,PASS,PASS,DISPATCHED,DISPATCHED,URGENT_HUMAN_REVIEW,URGENT_HUMAN_REVIEW,urgent,urgent,True,True,1,0.063,0.0,True,True
S24,valid_not_dispatchable,PASS,PASS,ABSTAIN,ABSTAIN,UNVERIFIED,UNVERIFIED,low,low,True,True,1,0.049,0.0,False,True
S25,retry_limit_exhausted,UNKNOWN,UNKNOWN,REQUEST_EVIDENCE,REQUEST_EVIDENCE,REQUEST_EVIDENCE,REQUEST_EVIDENCE,low,low,True,False,4,0.035,0.0,False,True
